X,variable_name,long_name,class,options,examples,ee1,ee2,ee3,ee4,ee5,ee6,ee7,ee8,ee9,ee10,ee11,ee12,ee13,ee14,ee15,ee16,ee17,ee18,ee19,ee20,ee21,ee22,ee23,ee24,ee25,ee26,ee27,ee28,ee29,ee30,ee31,ee32,ee33,ee34,ee35,ee36,ee37,ee38,ee39,ee40,ee41,ee42,ee43,ee44,ee45,ee46,ee47,ee48,ee49,ee50,ee51,ee52,ee53,ee54,ee55,ee56
2,res_tind,Temperature Indicator,integer,"1, air temperature | 2, heat index | 3, humidex | 4, wind chill index | 5, wet bulb globe temperature | 6, physical equivalent temperature | 7, broadly defined apparent temperature | 8, Other",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,res_tind_other,"Temperature Indicator, Other",character,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,res_tstat,Statistical Feature,integer,"1, maximum | 2, mean | 3, minimum | 4, diurnal range | 5, absolute difference between days | 6, multi-day moving average | 7, Unspecified | 8, Other",NA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5,res_tstat_other,"Statistical Feature, Other",character,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,res_lr,Lag Range,charater,NA,"If the study does not consider delay effect at all, fill in 0.",0-9,0-9,0-9,0-9,0-9,0-9,0-9,0-9,0-9,0-9,0-9,0-9,0-9,0-9,0-9,0-9,0-9,0-9,0-9,0-9,0-9,0-9,0-9,0-9,0-9,0-9,0-9,0-9,0-9,0-9,0-9,0-9,0-9,0-9,0-9,0-9,0-9,0-9,0-9,0-9,0-9,0-9,0-9,0-9,0-9,0-9,0-9,0-9,0-9,0-9,0-9,0-9,0-9,0-9,0-9,0-9
7,res_strat,OTher Stratum Characteristics,character,NA,"e.g. gender, location, season, model type, specific effect measure (when >2).","seoul, glm","seoul, cc, 28 days stratum","incheon, glm","incheon, cc, 28 days stratum","daegu, glm","daegu, cc, 28 days stratum","busan, glm","busan, cc, 28 days stratum","seoul, glm","seoul, cc, 28 days stratum","incheon, glm","incheon, cc, 28 days stratum","daegu, glm","daegu, cc, 28 days stratum","busan, glm","busan, cc, 28 days stratum","seoul, glm","seoul, cc, 28 days stratum","incheon, glm","incheon, cc, 28 days stratum","daegu, glm","daegu, cc, 28 days stratum","busan, glm","busan, cc, 28 days stratum","seoul, glm","seoul, cc, 28 days stratum","incheon, glm","incheon, cc, 28 days stratum","daegu, glm","daegu, cc, 28 days stratum","busan, glm","busan, cc, 28 days stratum","seoul, glm","seoul, cc, 28 days stratum","incheon, glm","incheon, cc, 28 days stratum","daegu, glm","daegu, cc, 28 days stratum","busan, glm","busan, cc, 28 days stratum","seoul, glm","seoul, cc, 28 days stratum","incheon, glm","incheon, cc, 28 days stratum","daegu, glm","daegu, cc, 28 days stratum","busan, glm","busan, cc, 28 days stratum","seoul, glm","seoul, cc, 28 days stratum","incheon, glm","incheon, cc, 28 days stratum","daegu, glm",", 28 days stratum","busan, glm","busan, cc, 28 days stratum"
8,res_dn,Disease Name,character,NA,e.g. Hypertensive Disease,total cvd,total cvd,total cvd,total cvd,total cvd,total cvd,total cvd,total cvd,stroke,stroke,stroke,stroke,stroke,stroke,stroke,stroke,MI,MI,MI,MI,MI,MI,MI,MI,IHD,IHD,IHD,IHD,IHD,IHD,IHD,IHD,cardiac failure,cardiac failure,cardiac failure,cardiac failure,cardiac failure,cardiac failure,cardiac failure,cardiac failure,cardiac disease,cardiac disease,cardiac disease,cardiac disease,cardiac disease,cardiac disease,cardiac disease,cardiac disease,arrhythmia,arrhythmia,arrhythmia,arrhythmia,arrhythmia,arrhythmia,arrhythmia,arrhythmia
9,res_did,Disease Identification Code,character,NA,e.g. I00-I99,"I00-I99, G45, G46, M30, M31, R58, ","I00-I99, G45, G46, M30, M31, R58, ","I00-I99, G45, G46, M30, M31, R58, ","I00-I99, G45, G46, M30, M31, R58, ","I00-I99, G45, G46, M30, M31, R58, ","I00-I99, G45, G46, M30, M31, R58, ","I00-I99, G45, G46, M30, M31, R58, ","I00-I99, G45, G46, M30, M31, R58, ","I60-69, G45, G46","I60-69, G45, G47","I60-69, G45, G48","I60-69, G45, G49","I60-69, G45, G50","I60-69, G45, G51","I60-69, G45, G52","I60-69, G45, G53",I21-22,I21-22,I21-22,I21-22,I21-22,I21-22,I21-22,I21-22,I20-I25,I20-I25,I20-I25,I20-I25,I20-I25,I20-I25,I20-I25,I20-I25,I50,I50,I50,I50,I50,I50,I50,I50,"I00-I52, I97-98","I00-I52, I97-98","I00-I52, I97-98","I00-I52, I97-98","I00-I52, I97-98","I00-I52, I97-98","I00-I52, I97-98","I00-I52, I97-98",I46-49,I46-49,I46-49,I46-49,I46-49,I46-49,I46-49,I46-49
10,res_rsp,Population Health Response,integer,"1, mortality | 2, emergency department visits | 3, emergency calls | 4, emergency ambulance transportation trips | 5, hospitalizations | 6, outpatient visits | 7, Other",NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
11,res_rsp_other,"Population Health Response, Other",character,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
